Gas,Mean,Std,Variance,CV_%
CO2,432048.8276085797,1059768.175824186,1123108586489.723,245.28898312028215
CH4,73302.71311445175,175440.58106874255,30779397485.738033,239.3370908315727
N2O,29922.486723343947,76097.51057726647,5790831116.057182,254.31546275162754
HFCs,7459.376347495769,20689.85971033548,428070294.8333634,277.36715170942404
PFCs,1823.3134186483737,3864.7042851624456,14935939.21175297,211.96050254636748
SF6,1204.6148339569936,3675.280918109503,13507689.827019833,305.1000879705849
NF3,113.46722644564441,267.0251973842126,71302.45603807771,235.33244422091252
