Gas,Slope,R_squared,P_value,Pct_Change,Significant
CO2,-37152.13551651445,0.17681026954780898,0.036353456382770495,-12.112741199082883,Yes
CH4,-26477.452558568613,0.7856289837420453,3.737065174524599e-09,-21.841394614324372,Yes
N2O,-16428.565432840314,0.9313012918008151,7.168817935829255e-15,-26.83382112927606,Yes
HFCs,13132.63519550528,0.959322046861083,1.7071457068690952e-17,197.76164718441245,Yes
PFCs,-4205.958668141679,0.9688316447647399,7.95033292880957e-19,-82.02321129295025,Yes
SF6,-2591.9099369007154,0.9264475664499686,1.5755903531804748e-14,-67.88854318367467,Yes
NF3,103.29698954447068,0.8410544952426,1.1616403061564343e-10,1042.6114516045361,Yes
